Date,Price ($),Units Sold,Promo,Weekday,Competitor Price ($),Season,Time of Day,Revenue ($)
2023-01-02,49.41,635,No,Monday,47.77,Winter,Afternoon,31375.35
2023-01-02,40.05,802,No,Monday,34.06,Winter,Evening,32120.1
2023-01-02,27.34,1185,No,Monday,26.3,Winter,Night,32397.9
2023-01-02,42.42,569,No,Monday,43.66,Winter,Evening,24136.98
2023-01-02,33.02,1066,No,Monday,29.53,Winter,Evening,35199.32
2023-01-02,44.22,630,No,Monday,45.48,Winter,Evening,27858.6
2023-01-02,30.69,909,No,Monday,25.17,Winter,Evening,27897.21
2023-01-02,37.95,744,No,Monday,38.78,Winter,Morning,28234.8
2023-01-02,35.7,845,No,Monday,28.16,Winter,Morning,30166.5
2023-01-02,40.24,994,No,Monday,52.05,Winter,Afternoon,39998.56
2023-01-02,36.12,878,No,Monday,33.39,Winter,Afternoon,31713.36
2023-01-02,44.19,591,No,Monday,40.75,Winter,Afternoon,26116.29
2023-01-02,26.07,917,No,Monday,23.61,Winter,Afternoon,23906.19
2023-01-02,47.4,1038,No,Monday,56.09,Winter,Morning,49201.2
2023-01-03,48.18,711,No,Tuesday,49.71,Winter,Morning,34255.98
2023-01-03,32.6,945,No,Tuesday,39.72,Winter,Evening,30807.0
2023-01-03,36.97,1077,No,Tuesday,43.25,Winter,Afternoon,39816.69
2023-01-03,36.48,929,No,Tuesday,40.68,Winter,Morning,33889.92
2023-01-03,40.26,1094,No,Tuesday,39.62,Winter,Afternoon,44044.44
2023-01-03,34.42,1486,Yes,Tuesday,31.71,Winter,Morning,51148.12
2023-01-03,42.48,539,No,Tuesday,38.71,Winter,Morning,22896.72
2023-01-03,35.96,1252,No,Tuesday,44.18,Winter,Evening,45021.92
2023-01-03,42.97,1242,Yes,Tuesday,47.44,Winter,Morning,53368.74
2023-01-03,24.83,1215,No,Tuesday,29.98,Winter,Afternoon,30168.45
2023-01-03,41.89,926,No,Tuesday,45.83,Winter,Evening,38790.14
2023-01-03,36.24,733,No,Tuesday,40.28,Winter,Morning,26563.92
2023-01-03,35.07,1068,No,Tuesday,36.18,Winter,Night,37454.76
2023-01-03,31.67,1365,Yes,Tuesday,36.8,Winter,Evening,43229.55
2023-01-03,43.53,1194,Yes,Tuesday,46.39,Winter,Evening,51974.82
2023-01-03,32.86,1204,No,Tuesday,29.69,Winter,Morning,39563.44
2023-01-03,43.54,693,No,Tuesday,40.33,Winter,Evening,30173.22
2023-01-03,40.19,787,No,Tuesday,35.79,Winter,Evening,31629.53
2023-01-03,42.58,999,Yes,Tuesday,45.27,Winter,Evening,42537.42
2023-01-03,40.88,993,No,Tuesday,43.83,Winter,Morning,40593.84
2023-01-03,37.78,805,No,Tuesday,33.0,Winter,Evening,30412.9
2023-01-03,52.34,622,No,Tuesday,56.52,Winter,Morning,32555.48
2023-01-03,33.63,1018,No,Tuesday,46.67,Winter,Evening,34235.34
2023-01-03,43.24,640,No,Tuesday,45.03,Winter,Afternoon,27673.6
2023-01-03,38.7,1029,Yes,Tuesday,37.14,Winter,Morning,39822.3
2023-01-04,29.32,993,No,Wednesday,23.74,Winter,Afternoon,29114.76
2023-01-04,32.36,1043,No,Wednesday,31.71,Winter,Evening,33751.48
2023-01-04,36.1,1066,No,Wednesday,45.85,Winter,Morning,38482.6
2023-01-04,32.15,912,No,Wednesday,32.3,Winter,Morning,29320.8
2023-01-04,40.2,976,No,Wednesday,43.04,Winter,Evening,39235.2
2023-01-04,44.29,797,No,Wednesday,48.33,Winter,Morning,35299.13
2023-01-04,44.24,1476,Yes,Wednesday,37.32,Winter,Morning,65298.24
2023-01-04,39.74,684,No,Wednesday,41.66,Winter,Morning,27182.16
2023-01-04,44.25,660,No,Wednesday,38.57,Winter,Afternoon,29205.0
2023-01-04,42.41,853,No,Wednesday,41.26,Winter,Morning,36175.73
2023-01-04,38.65,957,No,Wednesday,37.48,Winter,Night,36988.05
2023-01-04,33.55,1479,No,Wednesday,38.13,Winter,Evening,49620.45
2023-01-04,34.99,858,No,Wednesday,36.58,Winter,Morning,30021.42
2023-01-04,38.04,861,No,Wednesday,43.83,Winter,Night,32752.44
2023-01-04,32.48,1131,No,Wednesday,31.9,Winter,Afternoon,36734.88
2023-01-04,30.21,1388,Yes,Wednesday,39.0,Winter,Morning,41931.48
2023-01-04,42.12,759,No,Wednesday,44.94,Winter,Afternoon,31969.08
2023-01-04,39.79,804,No,Wednesday,35.84,Winter,Afternoon,31991.16
2023-01-04,42.12,1040,Yes,Wednesday,40.5,Winter,Afternoon,43804.8
2023-01-04,37.33,1093,Yes,Wednesday,34.64,Winter,Afternoon,40801.69
2023-01-04,26.42,875,No,Wednesday,22.68,Winter,Afternoon,23117.5
2023-01-04,40.27,667,No,Wednesday,40.12,Winter,Afternoon,26860.09
2023-01-04,42.68,797,No,Wednesday,36.14,Winter,Morning,34015.96
2023-01-04,44.14,715,No,Wednesday,40.98,Winter,Morning,31560.1
2023-01-04,28.53,1168,No,Wednesday,26.75,Winter,Afternoon,33323.04
2023-01-05,39.17,794,No,Thursday,44.23,Winter,Night,31100.98
2023-01-05,30.91,934,Yes,Thursday,29.84,Winter,Afternoon,28869.94
2023-01-05,42.46,715,No,Thursday,36.34,Winter,Night,30358.9
2023-01-05,45.0,1087,Yes,Thursday,55.51,Winter,Afternoon,48915.0
2023-01-05,49.2,599,No,Thursday,43.25,Winter,Evening,29470.8
2023-01-05,44.46,961,No,Thursday,46.26,Winter,Night,42726.06
2023-01-05,27.14,1203,No,Thursday,24.51,Winter,Morning,32649.42
2023-01-05,27.81,1060,No,Thursday,28.65,Winter,Night,29478.6
2023-01-05,32.07,1122,No,Thursday,34.23,Winter,Night,35982.54
2023-01-05,42.41,735,No,Thursday,41.27,Winter,Night,31171.35
2023-01-05,25.2,939,No,Thursday,23.32,Winter,Morning,23662.8
2023-01-05,40.26,783,No,Thursday,45.63,Winter,Morning,31523.58
2023-01-05,28.81,1143,No,Thursday,30.51,Winter,Evening,32929.83
2023-01-05,33.06,629,No,Thursday,31.12,Winter,Afternoon,20794.74
2023-01-05,36.59,1194,No,Thursday,40.61,Winter,Afternoon,43688.46
2023-01-05,23.47,1083,No,Thursday,25.54,Winter,Evening,25418.01
2023-01-05,36.59,650,No,Thursday,31.18,Winter,Afternoon,23783.5
2023-01-05,29.79,1271,No,Thursday,26.33,Winter,Afternoon,37863.09
2023-01-05,39.16,1020,No,Thursday,42.03,Winter,Afternoon,39943.2
2023-01-05,39.56,939,No,Thursday,44.73,Winter,Morning,37146.84
2023-01-05,40.81,1346,Yes,Thursday,43.05,Winter,Afternoon,54930.26
2023-01-05,34.93,1166,Yes,Thursday,44.2,Winter,Night,40728.38
2023-01-05,39.81,972,No,Thursday,39.9,Winter,Afternoon,38695.32
2023-01-05,35.81,640,No,Thursday,38.02,Winter,Evening,22918.4
2023-01-05,40.15,657,No,Thursday,40.61,Winter,Afternoon,26378.55
2023-01-05,27.93,1288,No,Thursday,33.11,Winter,Afternoon,35973.84
2023-01-06,39.61,986,No,Friday,38.07,Winter,Afternoon,39055.46
2023-01-06,38.72,845,No,Friday,30.49,Winter,Morning,32718.4
2023-01-06,32.33,1070,No,Friday,33.06,Winter,Afternoon,34593.1
2023-01-06,42.05,692,No,Friday,40.59,Winter,Morning,29098.6
2023-01-06,37.6,721,No,Friday,42.6,Winter,Evening,27109.6
2023-01-06,23.64,1029,No,Friday,21.19,Winter,Night,24325.56
2023-01-06,39.97,1001,No,Friday,46.88,Winter,Night,40009.97
2023-01-06,40.2,1038,Yes,Friday,47.56,Winter,Afternoon,41727.6
2023-01-06,40.06,1104,Yes,Friday,49.86,Winter,Morning,44226.24
2023-01-06,32.36,927,Yes,Friday,21.27,Winter,Afternoon,29997.72
2023-01-06,40.09,818,No,Friday,45.2,Winter,Night,32793.62
2023-01-06,40.03,1133,Yes,Friday,38.81,Winter,Evening,45353.99
2023-01-06,46.75,489,No,Friday,47.74,Winter,Morning,22860.75
2023-01-06,25.77,681,No,Friday,29.7,Winter,Morning,17549.37
2023-01-06,30.37,966,No,Friday,21.28,Winter,Afternoon,29337.42
2023-01-06,43.75,856,No,Friday,40.63,Winter,Morning,37450.0
2023-01-06,42.61,765,No,Friday,35.69,Winter,Morning,32596.65
2023-01-06,41.46,986,No,Friday,44.73,Winter,Afternoon,40879.56
2023-01-06,36.27,1393,Yes,Friday,33.82,Winter,Night,50524.11
2023-01-06,35.5,1010,No,Friday,37.64,Winter,Afternoon,35855.0
2023-01-06,46.5,918,Yes,Friday,42.89,Winter,Evening,42687.0
2023-01-06,41.41,885,Yes,Friday,45.2,Winter,Night,36647.85
2023-01-07,36.56,1557,Yes,Saturday,35.79,Winter,Evening,56923.92
2023-01-07,41.6,1272,Yes,Saturday,41.61,Winter,Evening,52915.2
2023-01-07,38.19,1024,No,Saturday,28.89,Winter,Morning,39106.56
2023-01-07,47.92,965,Yes,Saturday,50.21,Winter,Evening,46242.8
2023-01-07,36.2,926,No,Saturday,43.37,Winter,Evening,33521.2
2023-01-07,31.61,901,No,Saturday,31.01,Winter,Afternoon,28480.61
2023-01-07,41.05,1039,Yes,Saturday,36.72,Winter,Evening,42650.95
2023-01-07,35.72,1241,Yes,Saturday,35.63,Winter,Evening,44328.52
2023-01-07,34.06,710,No,Saturday,31.18,Winter,Afternoon,24182.6
2023-01-07,33.45,916,No,Saturday,31.57,Winter,Evening,30640.2
2023-01-07,37.32,1255,No,Saturday,38.69,Winter,Evening,46836.6
2023-01-07,48.12,811,No,Saturday,46.71,Winter,Evening,39025.32
2023-01-07,31.78,1539,No,Saturday,40.37,Winter,Evening,48909.42
2023-01-07,41.79,840,No,Saturday,36.96,Winter,Afternoon,35103.6
2023-01-07,43.48,718,No,Saturday,46.4,Winter,Afternoon,31218.64
2023-01-07,33.86,1087,No,Saturday,29.33,Winter,Afternoon,36805.82
2023-01-07,34.62,885,No,Saturday,32.28,Winter,Night,30638.7
2023-01-07,43.24,1063,Yes,Saturday,36.84,Winter,Afternoon,45964.12
2023-01-07,31.26,1119,No,Saturday,26.71,Winter,Night,34979.94
2023-01-07,41.01,905,Yes,Saturday,33.96,Winter,Morning,37114.05
2023-01-07,40.63,1090,Yes,Saturday,29.61,Winter,Evening,44286.7
2023-01-07,40.07,1215,No,Saturday,47.05,Winter,Afternoon,48685.05
2023-01-07,32.43,903,No,Saturday,25.82,Winter,Morning,29284.29
2023-01-07,33.58,1093,No,Saturday,32.02,Winter,Evening,36702.94
2023-01-07,35.41,1336,Yes,Saturday,31.64,Winter,Afternoon,47307.76
2023-01-07,40.7,1130,No,Saturday,46.61,Winter,Night,45991.0
2023-01-07,35.72,1411,Yes,Saturday,43.43,Winter,Evening,50400.92
2023-01-07,40.97,998,No,Saturday,41.47,Winter,Morning,40888.06
2023-01-07,36.9,1263,No,Saturday,44.21,Winter,Afternoon,46604.7
2023-01-07,43.96,1028,No,Saturday,48.41,Winter,Morning,45190.88
2023-01-08,41.57,974,No,Sunday,44.62,Winter,Morning,40489.18
2023-01-08,52.78,680,No,Sunday,55.62,Winter,Night,35890.4
2023-01-08,35.88,1528,Yes,Sunday,37.87,Winter,Afternoon,54824.64
2023-01-08,42.94,1070,No,Sunday,42.27,Winter,Evening,45945.8
2023-01-08,43.07,861,Yes,Sunday,35.23,Winter,Morning,37083.27
2023-01-08,45.48,760,No,Sunday,48.71,Winter,Afternoon,34564.8
2023-01-08,43.34,1069,No,Sunday,49.26,Winter,Morning,46330.46
2023-01-08,42.18,891,No,Sunday,47.11,Winter,Morning,37582.38
2023-01-08,32.49,841,No,Sunday,22.22,Winter,Evening,27324.09
2023-01-08,50.58,679,Yes,Sunday,53.65,Winter,Evening,34343.82
2023-01-08,37.86,1284,No,Sunday,47.45,Winter,Afternoon,48612.24
2023-01-08,37.03,1225,Yes,Sunday,39.38,Winter,Afternoon,45361.75
2023-01-08,37.12,829,No,Sunday,33.01,Winter,Evening,30772.48
2023-01-08,30.09,1143,No,Sunday,31.61,Winter,Afternoon,34392.87
2023-01-08,46.9,903,No,Sunday,52.39,Winter,Afternoon,42350.7
2023-01-08,33.49,1236,Yes,Sunday,39.73,Winter,Evening,41393.64
2023-01-08,34.83,1068,No,Sunday,34.33,Winter,Morning,37198.44
2023-01-08,34.44,1267,No,Sunday,40.37,Winter,Afternoon,43635.48
2023-01-08,32.37,1155,No,Sunday,25.29,Winter,Morning,37387.35
2023-01-08,34.02,1287,Yes,Sunday,39.78,Winter,Afternoon,43783.74
2023-01-08,38.42,1156,No,Sunday,45.01,Winter,Afternoon,44413.52
2023-01-08,37.77,1234,Yes,Sunday,28.5,Winter,Evening,46608.18
2023-01-08,23.75,1307,No,Sunday,22.99,Winter,Evening,31041.25
2023-01-08,29.58,974,No,Sunday,26.72,Winter,Morning,28810.92
2023-01-08,42.25,784,Yes,Sunday,29.81,Winter,Afternoon,33124.0
2023-01-08,38.24,970,No,Sunday,34.73,Winter,Morning,37092.8
2023-01-08,41.13,1239,No,Sunday,41.44,Winter,Evening,50960.07
2023-01-08,31.0,921,No,Sunday,32.95,Winter,Evening,28551.0
2023-01-08,31.09,1113,No,Sunday,32.44,Winter,Morning,34603.17
2023-01-08,29.8,1195,No,Sunday,29.56,Winter,Evening,35611.0
2023-01-08,26.9,1178,No,Sunday,26.28,Winter,Evening,31688.2
2023-01-08,41.64,1277,Yes,Sunday,44.73,Winter,Morning,53174.28
2023-01-08,32.89,1063,No,Sunday,31.62,Winter,Afternoon,34962.07
2023-01-08,38.53,773,No,Sunday,41.59,Winter,Night,29783.69
2023-01-08,49.48,911,No,Sunday,51.47,Winter,Evening,45076.28
2023-01-09,37.95,805,No,Monday,31.65,Winter,Afternoon,30549.75
2023-01-09,45.76,906,Yes,Monday,52.08,Winter,Morning,41458.56
2023-01-09,37.29,1172,Yes,Monday,41.34,Winter,Afternoon,43703.88
2023-01-09,46.1,632,No,Monday,50.14,Winter,Evening,29135.2
2023-01-09,37.78,716,No,Monday,43.77,Winter,Morning,27050.48
2023-01-09,30.57,899,No,Monday,30.18,Winter,Afternoon,27482.43
2023-01-09,37.06,1067,Yes,Monday,35.14,Winter,Night,39543.02
2023-01-09,39.2,818,No,Monday,49.32,Winter,Evening,32065.6
2023-01-09,34.89,781,No,Monday,40.9,Winter,Morning,27249.09
2023-01-09,42.18,628,No,Monday,39.05,Winter,Morning,26489.04
2023-01-09,37.46,1041,Yes,Monday,39.34,Winter,Evening,38995.86
2023-01-09,36.6,1088,Yes,Monday,32.73,Winter,Evening,39820.8
2023-01-09,46.34,645,No,Monday,44.97,Winter,Afternoon,29889.3
2023-01-09,33.98,960,No,Monday,36.99,Winter,Morning,32620.8
2023-01-09,47.93,846,No,Monday,50.25,Winter,Morning,40548.78
2023-01-09,38.09,733,No,Monday,40.79,Winter,Evening,27919.97
2023-01-09,54.09,729,No,Monday,43.9,Winter,Morning,39431.61
2023-01-09,23.97,948,No,Monday,20.13,Winter,Afternoon,22723.56
2023-01-09,28.13,930,No,Monday,30.18,Winter,Afternoon,26160.9
2023-01-09,41.42,940,No,Monday,49.99,Winter,Evening,38934.8
2023-01-09,34.92,963,No,Monday,34.32,Winter,Afternoon,33627.96
2023-01-09,42.26,477,No,Monday,38.35,Winter,Afternoon,20158.02
2023-01-09,34.91,1107,Yes,Monday,35.72,Winter,Afternoon,38645.37
2023-01-09,29.37,1230,No,Monday,33.71,Winter,Afternoon,36125.1
2023-01-09,31.22,1135,No,Monday,38.42,Winter,Morning,35434.7
2023-01-09,51.91,315,No,Monday,46.02,Winter,Morning,16351.65
2023-01-10,40.91,938,Yes,Tuesday,34.57,Winter,Evening,38373.58
2023-01-10,39.92,714,No,Tuesday,36.75,Winter,Evening,28502.88
2023-01-10,32.81,1084,No,Tuesday,35.2,Winter,Evening,35566.04
2023-01-10,32.19,985,No,Tuesday,35.94,Winter,Morning,31707.15
2023-01-10,44.66,787,Yes,Tuesday,38.41,Winter,Afternoon,35147.42
2023-01-10,39.87,1007,No,Tuesday,39.42,Winter,Evening,40149.09
2023-01-10,44.2,914,Yes,Tuesday,50.4,Winter,Morning,40398.8
2023-01-10,29.24,922,No,Tuesday,30.96,Winter,Morning,26959.28
2023-01-10,44.82,795,No,Tuesday,53.3,Winter,Night,35631.9
2023-01-10,39.68,1315,Yes,Tuesday,42.39,Winter,Evening,52179.2
2023-01-10,31.86,1153,Yes,Tuesday,23.46,Winter,Night,36734.58
2023-01-10,30.41,961,No,Tuesday,20.98,Winter,Afternoon,29224.01
2023-01-10,33.01,900,Yes,Tuesday,39.73,Winter,Morning,29709.0
2023-01-10,23.94,1279,Yes,Tuesday,22.83,Winter,Morning,30619.26
2023-01-10,35.19,1133,No,Tuesday,37.71,Winter,Night,39870.27
2023-01-10,45.28,514,No,Tuesday,43.51,Winter,Night,23273.92
2023-01-10,33.65,919,No,Tuesday,33.62,Winter,Night,30924.35
2023-01-10,35.32,607,No,Tuesday,35.57,Winter,Morning,21439.24
2023-01-10,47.99,945,No,Tuesday,49.07,Winter,Evening,45350.55
2023-01-10,45.11,836,No,Tuesday,47.18,Winter,Morning,37711.96
2023-01-10,37.82,613,No,Tuesday,31.8,Winter,Evening,23183.66
2023-01-10,29.29,791,No,Tuesday,26.16,Winter,Morning,23168.39
2023-01-10,43.79,788,No,Tuesday,39.97,Winter,Evening,34506.52
2023-01-10,48.12,1028,No,Tuesday,48.18,Winter,Evening,49467.36
2023-01-10,37.6,995,No,Tuesday,43.08,Winter,Afternoon,37412.0
2023-01-10,30.44,1031,No,Tuesday,30.67,Winter,Afternoon,31383.64
2023-01-10,46.19,915,No,Tuesday,50.5,Winter,Afternoon,42263.85
2023-01-10,45.18,874,No,Tuesday,48.8,Winter,Morning,39487.32
2023-01-10,49.38,661,No,Tuesday,52.46,Winter,Evening,32640.18
2023-01-10,34.06,1070,No,Tuesday,29.01,Winter,Morning,36444.2
2023-01-11,34.75,1005,No,Wednesday,40.49,Winter,Afternoon,34923.75
2023-01-11,33.17,907,No,Wednesday,33.75,Winter,Afternoon,30085.19
2023-01-11,37.13,1039,No,Wednesday,35.33,Winter,Evening,38578.07
2023-01-11,26.73,1293,Yes,Wednesday,28.3,Winter,Evening,34561.89
2023-01-11,26.71,1352,Yes,Wednesday,29.42,Winter,Afternoon,36111.92
2023-01-11,30.19,975,No,Wednesday,21.83,Winter,Night,29435.25
2023-01-11,30.72,1151,Yes,Wednesday,34.1,Winter,Night,35358.72
2023-01-11,31.21,783,No,Wednesday,28.34,Winter,Afternoon,24437.43
2023-01-11,36.52,1124,Yes,Wednesday,38.06,Winter,Evening,41048.48
2023-01-11,48.94,593,No,Wednesday,53.61,Winter,Morning,29021.42
2023-01-11,34.72,920,No,Wednesday,33.49,Winter,Night,31942.4
2023-01-11,34.08,960,No,Wednesday,32.75,Winter,Morning,32716.8
2023-01-11,37.47,1031,No,Wednesday,28.5,Winter,Morning,38631.57
2023-01-11,32.07,1295,No,Wednesday,32.26,Winter,Morning,41530.65
2023-01-11,39.31,989,No,Wednesday,39.79,Winter,Afternoon,38877.59
2023-01-11,36.44,804,No,Wednesday,47.19,Winter,Morning,29297.76
2023-01-11,41.25,673,No,Wednesday,33.55,Winter,Evening,27761.25
2023-01-11,26.84,846,No,Wednesday,29.98,Winter,Afternoon,22706.64
2023-01-11,29.07,1517,Yes,Wednesday,30.97,Winter,Afternoon,44099.19
2023-01-11,49.38,148,No,Wednesday,45.93,Winter,Afternoon,7308.24
2023-01-11,38.67,957,No,Wednesday,44.09,Winter,Night,37007.19
2023-01-11,45.63,784,No,Wednesday,57.04,Winter,Evening,35773.92
2023-01-11,32.54,850,No,Wednesday,34.24,Winter,Afternoon,27659.0
2023-01-11,40.88,780,No,Wednesday,45.33,Winter,Morning,31886.4
2023-01-11,33.2,900,No,Wednesday,32.29,Winter,Evening,29880.0
2023-01-12,33.09,730,No,Thursday,20.91,Winter,Morning,24155.7
2023-01-12,25.65,1256,Yes,Thursday,21.33,Winter,Night,32216.4
2023-01-12,33.91,661,No,Thursday,34.79,Winter,Morning,22414.51
2023-01-12,38.5,845,No,Thursday,34.48,Winter,Evening,32532.5
2023-01-12,36.64,743,No,Thursday,49.63,Winter,Morning,27223.52
2023-01-12,38.21,438,No,Thursday,32.35,Winter,Afternoon,16735.98
2023-01-12,33.87,909,No,Thursday,33.77,Winter,Morning,30787.83
2023-01-12,36.72,752,No,Thursday,30.3,Winter,Morning,27613.44
2023-01-12,29.59,914,No,Thursday,28.44,Winter,Afternoon,27045.26
2023-01-12,39.96,877,No,Thursday,33.48,Winter,Morning,35044.92
2023-01-12,50.94,568,No,Thursday,47.34,Winter,Evening,28933.92
2023-01-12,33.83,1270,No,Thursday,32.06,Winter,Morning,42964.1
2023-01-12,48.85,951,No,Thursday,50.69,Winter,Morning,46456.35
2023-01-12,39.48,728,No,Thursday,36.89,Winter,Morning,28741.44
2023-01-12,39.93,1332,Yes,Thursday,40.56,Winter,Afternoon,53186.76
2023-01-12,42.88,822,No,Thursday,50.24,Winter,Afternoon,35247.36
2023-01-12,42.28,849,No,Thursday,36.32,Winter,Morning,35895.72
2023-01-12,36.99,888,No,Thursday,35.98,Winter,Afternoon,32847.12
2023-01-12,41.7,615,No,Thursday,32.48,Winter,Afternoon,25645.5
2023-01-12,37.07,665,No,Thursday,33.94,Winter,Evening,24651.55
2023-01-12,32.13,848,No,Thursday,29.09,Winter,Evening,27246.24
2023-01-12,32.76,987,No,Thursday,27.2,Winter,Evening,32334.12
2023-01-12,38.8,1496,Yes,Thursday,51.77,Winter,Evening,58044.8
2023-01-12,37.26,1081,Yes,Thursday,34.47,Winter,Afternoon,40278.06
2023-01-12,47.83,465,No,Thursday,41.93,Winter,Night,22240.95
2023-01-12,41.9,759,No,Thursday,38.85,Winter,Night,31802.1
2023-01-12,27.37,1343,No,Thursday,36.89,Winter,Morning,36757.91
2023-01-12,40.35,430,No,Thursday,32.31,Winter,Night,17350.5
2023-01-12,34.49,1106,No,Thursday,28.63,Winter,Evening,38145.94
2023-01-12,44.98,455,No,Thursday,45.01,Winter,Afternoon,20465.9
2023-01-12,32.46,1044,No,Thursday,37.8,Winter,Morning,33888.24
2023-01-12,37.25,870,No,Thursday,37.05,Winter,Afternoon,32407.5
2023-01-12,28.38,1003,No,Thursday,21.63,Winter,Afternoon,28465.14
2023-01-12,47.52,381,No,Thursday,49.84,Winter,Afternoon,18105.12
2023-01-12,41.91,355,No,Thursday,41.35,Winter,Afternoon,14878.05
2023-01-12,35.91,759,No,Thursday,33.82,Winter,Evening,27255.69
2023-01-12,45.34,727,No,Thursday,39.95,Winter,Afternoon,32962.18
2023-01-12,50.7,567,No,Thursday,37.56,Winter,Morning,28746.9
2023-01-13,39.02,1004,No,Friday,32.22,Winter,Afternoon,39176.08
2023-01-13,37.48,1055,No,Friday,34.92,Winter,Evening,39541.4
2023-01-13,40.66,1013,Yes,Friday,36.83,Winter,Evening,41188.58
2023-01-13,33.34,1139,Yes,Friday,25.19,Winter,Afternoon,37974.26
2023-01-13,44.67,419,No,Friday,41.06,Winter,Afternoon,18716.73
2023-01-13,35.09,1007,No,Friday,38.93,Winter,Afternoon,35335.63
2023-01-13,45.89,661,No,Friday,45.6,Winter,Evening,30333.29
2023-01-13,41.18,646,No,Friday,37.22,Winter,Afternoon,26602.28
2023-01-13,41.53,525,No,Friday,42.94,Winter,Evening,21803.25
2023-01-13,37.42,844,No,Friday,38.01,Winter,Evening,31582.48
2023-01-13,41.79,810,No,Friday,41.31,Winter,Afternoon,33849.9
2023-01-13,33.42,905,No,Friday,25.59,Winter,Morning,30245.1
2023-01-13,41.97,537,No,Friday,41.38,Winter,Afternoon,22537.89
2023-01-13,39.17,1268,No,Friday,35.82,Winter,Morning,49667.56
2023-01-13,43.92,769,No,Friday,40.2,Winter,Afternoon,33774.48
2023-01-13,37.27,873,No,Friday,39.88,Winter,Afternoon,32536.71
2023-01-13,43.3,588,No,Friday,45.04,Winter,Evening,25460.4
2023-01-13,36.15,789,No,Friday,34.31,Winter,Evening,28522.35
2023-01-13,40.71,841,Yes,Friday,42.64,Winter,Afternoon,34237.11
2023-01-13,32.22,920,No,Friday,38.14,Winter,Morning,29642.4
2023-01-13,28.09,1022,No,Friday,24.42,Winter,Afternoon,28707.98
2023-01-13,39.11,818,No,Friday,44.98,Winter,Night,31991.98
2023-01-13,28.65,827,No,Friday,26.5,Winter,Morning,23693.55
2023-01-13,36.4,936,No,Friday,47.48,Winter,Evening,34070.4
